Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
ERR411992,2014-05-14 12:45:26,2014-05-14 12:45:26,7143663,714366300,0,100,350,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/ERR/ERR411/ERR411992/ERR411992.sra,ERX378353,Extract 1,ChIP-Seq,RANDOM,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP004613,PRJEB5230,0,246176,ERS393434,SAMEA2335240,511145,Escherichia coli str. K-12 substr. MG1655,E-MTAB-2211:cell culture 1,,,,,,,no,,,,,"The MRC Clinical Sciences Centre Genome Laboratory, London",ERA281406,,public,CF10654A5EAB8779325F9051E1B1772F,EBC07E6CA59FE8B5DDAAF4E9D3C36F60
ERR411989,2014-05-14 12:45:26,2014-05-14 12:45:26,5790811,579081100,0,100,288,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/ERR/ERR411/ERR411989/ERR411989.sra,ERX378354,Extract 2,ChIP-Seq,RANDOM,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP004613,PRJEB5230,0,246176,ERS393435,SAMEA2335241,511145,Escherichia coli str. K-12 substr. MG1655,E-MTAB-2211:cell culture 2,,,,,,,no,,,,,"The MRC Clinical Sciences Centre Genome Laboratory, London",ERA281406,,public,82A4EF37CCEBFB53AF797B18B3F62740,F2632E7EBBCBC5A373DBF37DC8B97E2B
ERR411988,2014-05-14 12:45:26,2014-05-14 12:45:26,8256979,825697900,0,100,404,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/ERR/ERR411/ERR411988/ERR411988.sra,ERX378350,Extract 3,ChIP-Seq,RANDOM,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP004613,PRJEB5230,0,246176,ERS393431,SAMEA2335237,511145,Escherichia coli str. K-12 substr. MG1655,E-MTAB-2211:cell culture 3,,,,,,,no,,,,,"The MRC Clinical Sciences Centre Genome Laboratory, London",ERA281406,,public,CCD1EB93FCE6A509E3C9D8471F2B4B63,48460D76CBD2A2180F050F0B69445E9C
ERR411991,2014-05-14 12:45:26,2014-05-14 12:45:26,8536719,426835950,0,50,245,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/ERR/ERR411/ERR411991/ERR411991.sra,ERX378351,Extract 4,ChIP-Seq,RANDOM,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP004613,PRJEB5230,0,246176,ERS393432,SAMEA2335238,511145,Escherichia coli str. K-12 substr. MG1655,E-MTAB-2211:cell culture 4,,,,,,,no,,,,,"The MRC Clinical Sciences Centre Genome Laboratory, London",ERA281406,,public,9321B140D5268D775319CF874F904788,5ECD04A4B8F82A6019DA181003EABC13
ERR411990,2014-05-14 12:45:26,2014-05-14 12:45:26,11183416,559170800,0,50,315,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/ERR/ERR411/ERR411990/ERR411990.sra,ERX378349,Extract 5,ChIP-Seq,RANDOM,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP004613,PRJEB5230,0,246176,ERS393430,SAMEA2335236,511145,Escherichia coli str. K-12 substr. MG1655,E-MTAB-2211:cell culture 5,,,,,,,no,,,,,"The MRC Clinical Sciences Centre Genome Laboratory, London",ERA281406,,public,9C06D70FC2B40CE53FDE8D1B491C0466,D9FD15C61F24C8365E65EA5A456C3BC9
ERR411993,2014-05-14 12:45:26,2014-05-14 12:45:26,11699971,584998550,0,50,328,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/ERR/ERR411/ERR411993/ERR411993.sra,ERX378352,Extract 6,ChIP-Seq,RANDOM,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP004613,PRJEB5230,0,246176,ERS393433,SAMEA2335239,511145,Escherichia coli str. K-12 substr. MG1655,E-MTAB-2211:cell culture 6,,,,,,,no,,,,,"The MRC Clinical Sciences Centre Genome Laboratory, London",ERA281406,,public,EDBFBA39F765E7EFA37E6A574665E599,A0B21FFC45FBADB9FF38D5E768B44D9F
ERR454491,2014-06-30 22:55:15,2014-06-30 22:55:15,16329333,3298525266,16329333,202,2323,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/ERR/ERR454/ERR454491/ERR454491.sra,ERX420846,unspecified,WGS,RANDOM,GENOMIC,PAIRED,250,0,ILLUMINA,Illumina HiSeq 2000,ERP005237,PRJEB5802,0,254006,ERS420397,SAMEA2396240,511145,Escherichia coli str. K-12 substr. MG1655,EK1,,,,,,,no,,,,,ETHZ,ERA293570,,public,F1D0197D07C4912B6E1BE1859F952978,433FFF658CF342CFE403345A6B41C94B
ERR454492,2014-06-30 22:55:15,2014-06-30 22:55:15,16329318,3298522236,16329318,202,2322,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/ERR/ERR454/ERR454492/ERR454492.sra,ERX420847,unspecified,WGS,RANDOM,GENOMIC,PAIRED,250,0,ILLUMINA,Illumina HiSeq 2000,ERP005237,PRJEB5802,0,254006,ERS420398,SAMEA2396241,511145,Escherichia coli str. K-12 substr. MG1655,EK2,,,,,,,no,,,,,ETHZ,ERA293570,,public,FA6118B8B62ECDA9599BBB574C8CC25F,6FB5850F29FD3F48B884E41E645EAAC6
ERR454494,2014-06-30 22:55:15,2014-06-30 22:55:15,16329215,3298501430,16329215,202,2314,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/ERR/ERR454/ERR454494/ERR454494.sra,ERX420849,unspecified,WGS,RANDOM,GENOMIC,PAIRED,250,0,ILLUMINA,Illumina HiSeq 2000,ERP005237,PRJEB5802,0,254006,ERS420400,SAMEA2396243,511145,Escherichia coli str. K-12 substr. MG1655,EK30,,,,,,,no,,,,,ETHZ,ERA293570,,public,0C4A40D0659CE54520A3C3C068D64286,2B8ECDF4B79E08A468FE80437A0090BC
ERR454493,2014-06-30 22:55:15,2014-06-30 22:55:15,14484556,2925880312,14484556,202,2059,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/ERR/ERR454/ERR454493/ERR454493.sra,ERX420848,unspecified,WGS,RANDOM,GENOMIC,PAIRED,250,0,ILLUMINA,Illumina HiSeq 2000,ERP005237,PRJEB5802,0,254006,ERS420399,SAMEA2396242,511145,Escherichia coli str. K-12 substr. MG1655,EK8,,,,,,,no,,,,,ETHZ,ERA293570,,public,07E8A30E8263ACA21DEF9231085750B2,06B0DAC7C145302C0636DB32FEA2A69C
ERR454498,2014-06-30 22:55:15,2014-06-30 22:55:15,16329312,3298521024,16329312,202,2316,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/ERR/ERR454/ERR454498/ERR454498.sra,ERX420853,unspecified,WGS,RANDOM,GENOMIC,PAIRED,250,0,ILLUMINA,Illumina HiSeq 2000,ERP005237,PRJEB5802,0,254006,ERS420404,SAMEA2396247,511145,Escherichia coli str. K-12 substr. MG1655,EK83,,,,,,,no,,,,,ETHZ,ERA293570,,public,277CE2393D1873FB9FAC42EE5BBB33EB,CBF103D2AF1D6ABB2970134AE3BCD61A
ERR454499,2014-06-30 22:55:15,2014-06-30 22:55:15,16133274,3258921348,16133274,202,2264,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/ERR/ERR454/ERR454499/ERR454499.sra,ERX420854,unspecified,WGS,RANDOM,GENOMIC,PAIRED,250,0,ILLUMINA,Illumina HiSeq 2000,ERP005237,PRJEB5802,0,254006,ERS420405,SAMEA2396248,511145,Escherichia coli str. K-12 substr. MG1655,EK88,,,,,,,no,,,,,ETHZ,ERA293570,,public,C7E182811AA64E29AD46FAE85239A5F8,BB2C3F2236FD8EAE18A0D61D6B2DED46
ERR454500,2014-06-30 22:55:15,2014-06-30 22:55:15,16329152,3298488704,16329152,202,2309,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/ERR/ERR454/ERR454500/ERR454500.sra,ERX420855,unspecified,WGS,RANDOM,GENOMIC,PAIRED,250,0,ILLUMINA,Illumina HiSeq 2000,ERP005237,PRJEB5802,0,254006,ERS420406,SAMEA2396249,511145,Escherichia coli str. K-12 substr. MG1655,EK89,,,,,,,no,,,,,ETHZ,ERA293570,,public,60CFF4806FDACD8899538E4A7CB88740,BDFD6A6E01C50E16A347E2E577654AC8
ERR454501,2014-06-30 22:55:15,2014-06-30 22:55:15,11810564,2385733928,11810564,202,1674,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/ERR/ERR454/ERR454501/ERR454501.sra,ERX420856,unspecified,WGS,RANDOM,GENOMIC,PAIRED,250,0,ILLUMINA,Illumina HiSeq 2000,ERP005237,PRJEB5802,0,254006,ERS420407,SAMEA2396250,511145,Escherichia coli str. K-12 substr. MG1655,EK92,,,,,,,no,,,,,ETHZ,ERA293570,,public,5F7F920F7021E235653D84F10368A297,F3A9636A56D9414049F7D9B22AD46526
SRR522879,2012-07-17 19:06:05,2012-07-17 19:06:05,1055,271420,0,257,0,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR522/SRR522879/SRR522879.sra,SRX160519,454-507,WGS,RANDOM,GENOMIC,SINGLE,0,0,LS454,454 GS FLX,SRP001087,PRJNA40075,19796385,40075,SRS006832,SAMN00013323,511145,Escherichia coli str. K-12 substr. MG1655,n/a,,,,,,,no,,,,,BI,SRA055761,,public,DF5B8B8C3E3471521411CEA54A955891,F1E938E07873E473FA6B5BD31079DC7B
SRR522875,2012-07-17 19:06:05,2012-07-17 19:06:05,1,141,0,141,0,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR522/SRR522875/SRR522875.sra,SRX160520,454-492,WGS,RANDOM,GENOMIC,SINGLE,0,0,LS454,454 GS 20,SRP001087,PRJNA40075,19796385,40075,SRS294470,SAMN00791330,511145,Escherichia coli str. K-12 substr. MG1655,n/a,,,,,,,no,,,,,BI,SRA055761,,public,312C08856F1379082779C078C237B52B,6DB508656E8708D3E8BD6F3AA7FE73DC
SRR458504,2012-04-09 01:05:04,2012-04-09 01:05:04,81741,149886563,0,1833,583,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR458/SRR458504/SRR458504.sra,SRX137012,LR_73,WGS,RANDOM,GENOMIC,SINGLE,0,0,PACBIO_SMRT,PacBio RS,SRP001087,PRJNA40075,19796385,40075,SRS281278,SAMN00761071,511145,Escherichia coli str. K-12 substr. MG1655,n/a,,,,,,,no,,,,,BI,SRA009386,,public,D1E8E3C271E6BFB4A899B948D12850D0,255B85E6AF2DF68F08EEAA12E0F1FADB
SRR458505,2012-04-09 01:05:05,2012-04-09 01:05:05,81741,94136970,0,1151,366,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR458/SRR458505/SRR458505.sra,SRX137013,LR_70,WGS,RANDOM,GENOMIC,SINGLE,0,0,PACBIO_SMRT,PacBio RS,SRP001087,PRJNA40075,19796385,40075,SRS281278,SAMN00761071,511145,Escherichia coli str. K-12 substr. MG1655,n/a,,,,,,,no,,,,,BI,SRA009386,,public,DFE5E6FC303CD057CC8F209F235251F6,DDE8BCD64BC71F6D6E5DD87A15C36062
SRR458506,2012-04-09 01:05:05,2012-04-09 01:05:05,81741,97222535,0,1189,380,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR458/SRR458506/SRR458506.sra,SRX137014,LR_69,WGS,RANDOM,GENOMIC,SINGLE,0,0,PACBIO_SMRT,PacBio RS,SRP001087,PRJNA40075,19796385,40075,SRS281278,SAMN00761071,511145,Escherichia coli str. K-12 substr. MG1655,n/a,,,,,,,no,,,,,BI,SRA009386,,public,BF4ED1DCC2558952A1F83B7B309709D2,32FA89C5FFFBCCE5354334DD76EA371B
SRR458507,2012-04-09 01:05:05,2012-04-09 01:05:05,81741,52340008,0,640,214,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR458/SRR458507/SRR458507.sra,SRX137013,LR_70,WGS,RANDOM,GENOMIC,SINGLE,0,0,PACBIO_SMRT,PacBio RS,SRP001087,PRJNA40075,19796385,40075,SRS281278,SAMN00761071,511145,Escherichia coli str. K-12 substr. MG1655,n/a,,,,,,,no,,,,,BI,SRA009386,,public,DC4ED2027EEAB6E5D2EE6DC811C2180D,95D77CBC8D0547E3317BA2536BC07013
SRR458508,2012-04-09 01:05:05,2012-04-09 01:05:05,81741,56817612,0,695,232,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR458/SRR458508/SRR458508.sra,SRX137014,LR_69,WGS,RANDOM,GENOMIC,SINGLE,0,0,PACBIO_SMRT,PacBio RS,SRP001087,PRJNA40075,19796385,40075,SRS281278,SAMN00761071,511145,Escherichia coli str. K-12 substr. MG1655,n/a,,,,,,,no,,,,,BI,SRA009386,,public,036020A5B8BAC18ADF99A5E686534A04,0683374B447000902E4740C1F9D3C591
SRR458509,2012-04-09 01:05:05,2012-04-09 01:05:05,81741,86801364,0,1061,352,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR458/SRR458509/SRR458509.sra,SRX137012,LR_73,WGS,RANDOM,GENOMIC,SINGLE,0,0,PACBIO_SMRT,PacBio RS,SRP001087,PRJNA40075,19796385,40075,SRS281278,SAMN00761071,511145,Escherichia coli str. K-12 substr. MG1655,n/a,,,,,,,no,,,,,BI,SRA009386,,public,0DAF801C0D7F965D993B44AF7B6029A2,94DA2F86C524CFD21C5B21F5FD49406C
SRR534078,2012-08-07 09:12:04,2012-08-07 09:12:04,81741,150207930,0,1837,568,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR534/SRR534078/SRR534078.sra,SRX174142,LR_71,WGS,RANDOM,GENOMIC,SINGLE,0,0,PACBIO_SMRT,PacBio RS,SRP001087,PRJNA40075,19796385,40075,SRS281278,SAMN00761071,511145,Escherichia coli str. K-12 substr. MG1655,n/a,,,,,,,no,,,,,BI,SRA055761,,public,110614D7CEAF3383D3513066A67818F2,3B97B3F8D65F7E994D994AD9E94154CE
SRR534079,2012-08-07 09:12:04,2012-08-07 09:12:04,81741,71567655,0,875,287,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR534/SRR534079/SRR534079.sra,SRX174142,LR_71,WGS,RANDOM,GENOMIC,SINGLE,0,0,PACBIO_SMRT,PacBio RS,SRP001087,PRJNA40075,19796385,40075,SRS281278,SAMN00761071,511145,Escherichia coli str. K-12 substr. MG1655,n/a,,,,,,,no,,,,,BI,SRA055761,,public,529DD6B5CFEB764A1DC784037335FDE1,7BCC78FAD5CC829809D8037686520977
SRR522165,2012-07-17 01:38:11,2012-07-17 01:38:11,5474811,1105911822,5474811,202,626,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR522/SRR522165/SRR522165.sra,SRX160304,Pond-52445,WGS,RANDOM,GENOMIC,PAIRED,220,0,ILLUMINA,Illumina HiSeq 2000,SRP001087,PRJNA40075,19796385,40075,SRS467523,SAMN02303529,511145,Escherichia coli str. K-12 substr. MG1655,n/a,,,,,,,no,,,,,BI,SRA055761,,public,A9BD180AB4605BD932434F42C620638A,50900449DB42F91CA619636697839B79
SRR522161,2012-07-17 01:38:11,2012-07-17 01:38:11,324314,65511428,324314,202,16,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR522/SRR522161/SRR522161.sra,SRX160300,Solexa-36231,WGS,RANDOM,GENOMIC,PAIRED,301,0,ILLUMINA,Illumina HiSeq 2000,SRP001087,PRJNA40075,19796385,40075,SRS467523,SAMN02303529,511145,Escherichia coli str. K-12 substr. MG1655,n/a,,,,,,,no,,,,,BI,SRA055761,,public,1721EC163E567154B29857660E327B29,B249DE61FA98DBBF1B87E849ADC2BFE5
SRR492488,2012-04-28 18:41:03,2012-04-28 18:41:03,362200,67369200,362200,186,30,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR492/SRR492488/SRR492488.sra,SRX145082,Solexa-42866,WGS,RANDOM,GENOMIC,PAIRED,969,0,ILLUMINA,Illumina HiSeq 2000,SRP001087,PRJNA40075,19796385,40075,SRS467523,SAMN02303529,511145,Escherichia coli str. K-12 substr. MG1655,n/a,,,,,,,no,,,,,BI,SRA009386,,public,08063B90967156B87E994BA9127DEA43,975B8CD56C987E97827889CD42D78A9B
SRR522159,2012-07-17 01:38:11,2012-07-17 01:38:11,326446,60718956,326446,186,27,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR522/SRR522159/SRR522159.sra,SRX145082,Solexa-42866,WGS,RANDOM,GENOMIC,PAIRED,969,0,ILLUMINA,Illumina HiSeq 2000,SRP001087,PRJNA40075,19796385,40075,SRS467523,SAMN02303529,511145,Escherichia coli str. K-12 substr. MG1655,n/a,,,,,,,no,,,,,BI,SRA055761,,public,85A6A03AF8C9BC6274E7C867775CC8DA,713CC32DA58548BFD24673CC53641AF0
SRR522166,2012-07-17 01:38:10,2012-07-17 01:38:10,3447840,96539520,0,28,26,assembly,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR522/SRR522166/SRR522166.sra,SRX160302,Solexa-24337,WGS,RANDOM,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP001087,PRJNA40075,19796385,40075,SRS302375,SAMN00839313,511145,Escherichia coli str. K-12 substr. MG1655,n/a,,,,,,,no,,,,,BI,SRA055761,,public,BCEC02BAECEBE5A9D3900B4CB7F84C5C,39E2A20975275A07677DB44CF53D52F1
SRR522160,2012-07-17 01:38:11,2012-07-17 01:38:11,351,19656,351,56,0,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR522/SRR522160/SRR522160.sra,SRX160308,Solexa-25394,WGS,RANDOM,GENOMIC,PAIRED,320,0,ILLUMINA,Illumina Genome Analyzer II,SRP001087,PRJNA40075,19796385,40075,SRS302375,SAMN00839313,511145,Escherichia coli str. K-12 substr. MG1655,n/a,,,,,,,no,,,,,BI,SRA055761,,public,164E90E9FE01ED42621F5D6BF9250158,30C5A8ED491B14CCCD543D38FC062F63
SRR522162,2012-07-17 01:38:11,2012-07-17 01:38:11,1374753,38493084,0,28,11,assembly,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR522/SRR522162/SRR522162.sra,SRX160301,Solexa-24324,WGS,RANDOM,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP001087,PRJNA40075,19796385,40075,SRS302375,SAMN00839313,511145,Escherichia coli str. K-12 substr. MG1655,n/a,,,,,,,no,,,,,BI,SRA055761,,public,2B381E36979D2447BB965830565B7C79,5E9071DF0C9ED3E21ACF4229C7C55053
