"S0h-1_S1","S0h-1_S1.hc","S0h-2_S2","S0h-2_S2.hc","S1h-1_S3","S1h-1_S3.hc","S1h-2_S4","S1h-2_S4.hc","S2h-1_S5","S2h-1_S5.hc","S2h-2_S6","S2h-2_S6.hc","S3h-1_S7","S3h-1_S7.hc","S3h-2_S8","S3h-2_S8.hc","S4h-1_S9","S4h-1_S9.hc","S4h-2_S10","S4h-2_S10.hc","S5h-1_S11","S5h-1_S11.hc","S5h-2_S12","S5h-2_S12.hc","S6h-1_S13","S6h-1_S13.hc","S6h-2_S14","S6h-2_S14.hc","S7h-1_S15","S7h-1_S15.hc","S7h-2_S16","S7h-2_S16.hc","ref_call"
5000,4240.73,5000,1876.73,5000,4402.73,5000,2370.73,5000,3740.73,5000,4275.73,5000,3221.6,5000,5000,5000,3577.73,5000,4611.73,5000,3690.73,5000,5000,5000,4341.73,5000,3997.73,5000,3266.73,5000,3792.73,1
2083.73,1989.73,1593.73,1398.73,1427.73,1455.73,1432.73,1314.73,1628.73,1526.73,1966.73,1738.73,2817.73,2645.73,3060.73,2770.73,2535.73,2345.73,2199.73,1876.73,3331.73,2950.73,2084.73,2053.73,2098.73,1775.73,2581.73,2271.73,2108.73,1670.73,2502.73,2217.73,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3944.73,3614.73,2412.73,2163.73,3153.73,2752.73,2824.73,2526.73,2787.73,2563.73,4364.73,3953.73,4820.73,4514.73,4313.73,4173.73,4822.73,4553.73,4523.73,4255.73,3752.73,3517.73,3599.73,3332.73,5000,4850.73,4161.73,3581.73,3153.73,2952.73,2846.73,2536.73,1
3089.73,2533.73,1761.73,1379.73,2778.73,2236.73,1725.73,1378.73,3129.73,2788.73,3871.73,3293.73,3879.73,3279.73,2941.73,2458.73,4086.73,3428.73,3823.73,3246.73,4121.73,3543.73,2935.73,2418.73,3341.73,2721.73,3040.73,1609.73,2956.73,2247.73,2879.73,2382.73,1
2647.73,2570.73,1908.73,1741.73,2885.73,2622.73,1455.73,1453.73,2427.73,2263.73,3793.73,3667.73,3347.73,3094.73,4809.73,4501.73,4137.73,3928.73,3958.73,3539.73,4631.73,4327.73,1539.73,1454.73,3148.73,2870.73,2726.73,2611.73,3168.73,2876.73,3307.73,3056.73,1
5000,5000,5000,4575.73,4926.73,4019.73,4353.73,3561.73,4880.73,4018.73,5000,4491.73,5000,5000,5000,5000,5000,5000,5000,5000,5000,4737.73,5000,4948.73,5000,5000,5000,5000,5000,4417.73,4457.73,3804.73,1
1461.77,3019.77,1197.77,2499.77,1418.77,3038.77,1337.77,2341.77,1421.77,2775.77,1673.77,3621.77,1293.77,2953.77,2079.77,4267.77,1796.77,3898.77,1509.77,3022.77,1639.77,3447.77,1556.77,3080.77,1257.77,2672.77,1596.77,3572.77,1538.77,2809.77,1965.77,3884.77,0
1440.77,3019.77,1125.77,2499.77,1418.77,3038.77,1228.77,2341.77,1429.77,2775.77,1664.77,3621.77,1276.77,2953.77,2088.77,4267.77,1750.77,3898.77,1532.77,3022.77,1691.77,3447.77,1477.77,3080.77,1222.77,2672.77,1565.77,3572.77,1529.77,2809.77,1897.77,3884.77,0
2369.77,4824.77,1957.77,3990.77,2367.77,4860.77,1954.77,3772.77,2899.77,5000,2786.77,5000,3433.77,5000,3719.77,5000,3512.77,5000,3059.77,5000,2828.77,5000,2363.77,4980.77,2948.77,5000,2707.77,5000,2561.77,4574.77,2021.77,3971.77,1
2333.77,4824.77,1967.77,3990.77,2409.77,4860.77,1936.77,3772.77,2950.77,5000,2873.77,5000,3413.77,5000,3717.77,5000,3580.77,5000,3139.77,5000,2808.77,5000,2389.77,4980.77,2978.77,5000,2762.77,5000,2537.77,4574.77,1999.77,3971.77,1
2402.77,4989.77,1850.77,3506.77,2164.77,4251.77,1873.77,3542.77,2305.77,2442.73,2353.77,4593.77,2360.77,4819.77,2650.77,5000,2443.77,3901.73,2826.77,5000,2555.77,5000,2336.77,4592.77,1952.77,4118.77,1832.77,3918.77,2026.77,3580.77,2374.77,4209.77,1
2402.77,4989.77,1905.77,3506.77,2165.77,4251.77,1858.77,3542.77,2316.77,2451.77,2317.77,4593.77,2381.77,4819.77,2644.77,5000,2447.77,3862.77,2890.77,5000,2565.77,5000,2305.77,4592.77,2011.77,4118.77,1837.77,3918.77,2010.77,3580.77,2426.77,4209.77,1
3529.73,2992.73,2885.73,2438.73,3075.73,2677.73,1892.73,1650.73,2476.73,2125.73,5000,4409.73,4927.73,4209.73,5000,4749.73,5000,4723.73,5000,4681.73,4244.73,3685.73,4753.73,4089.73,4245.73,3424.73,4718.73,4079.73,3126.73,2593.73,3195.79,2473.73,1
2646.73,2298.73,2177.73,1886.73,2936.73,2523.73,1882.73,1529.73,3393.73,3007.73,4182.73,3738.73,3397.73,2952.73,3236.73,2757.73,2913.73,2608.73,3804.73,3428.73,4344.73,3749.73,3122.73,2670.73,3362.73,2894.73,3233.06,1899.73,3449.73,2957.73,3297.73,2795.73,1
0,0,0,0,0,0,0,0,39.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2533.73,2371.73,2088.73,1774.73,2395.73,2166.73,1427.73,1383.73,2325.73,2166.73,2830.73,2486.73,3179.77,2956.73,3454.73,3163.73,3890.73,3447.73,2803.73,2551.73,2619.73,2345.73,2741.73,2629.73,2087.73,1915.73,2771.73,2522.73,2600.73,2416.73,3186.76,2836.73,1
2049.77,3719.77,1554.77,3110.77,1921.77,3839.77,1382.77,2525.77,2042.77,3993.77,1942.77,4278.77,2189.77,4424.77,3200.06,5000,2267.77,4607.77,2367.77,4532.77,2321.77,4663.77,2323.77,4106.77,1794.77,3646.77,2372.77,4511.77,1848.77,3021.77,1711.77,3016.77,1
2077.77,3719.77,1601.77,3110.77,1962.77,3839.77,1418.77,2525.77,2054.77,3993.77,2045.77,4278.77,2252.77,4424.77,3201.82,5000,2317.77,4607.77,2368.77,4532.77,2382.77,4663.77,2419.77,4106.77,1796.77,3646.77,2399.77,4511.77,1914.77,3021.77,1748.77,3016.77,1
5000,4413.73,3587.73,2523.73,5000,4176.73,3121.73,2387.73,5000,4142.73,5000,4661.73,4171.73,3556.73,5000,4499.73,5000,3060.73,5000,4254.73,5000,4545.73,4686.73,3692.73,5000,2283.73,5000,4006.73,4040.73,2839.73,4074.73,3028.73,1
2601.73,2306.73,2474.73,2177.73,2108.73,2012.73,1735.73,1667.73,3827.73,3404.73,4225.73,3873.73,3731.73,3309.73,2612.73,2334.73,3369.73,2931.73,4339.73,3730.73,3928.73,3921.73,2835.73,2570.73,3436.73,3129.73,4359.73,3798.73,3195.79,2940.73,2750.73,2486.73,1
3342.73,2980.73,2596.73,2257.73,2793.73,2515.73,2573.73,1705.73,3842.73,3498.73,3600.73,3170.73,3176.71,2912.73,4223.73,3745.73,3424.73,2985.73,3648.73,3280.73,3834.73,3206.73,3434.73,3023.73,3924.73,3283.73,4494.73,3892.73,2994.73,2384.73,1794.73,1490.73,1
2075.77,2273.77,1376.77,1581.77,2525.77,2949.77,1537.77,1805.77,1641.77,1755.77,1236.77,1436.77,1915.77,2239.77,2165.77,2468.77,2566.77,3064.77,2817.77,3075.77,2707.77,3211.76,2585.77,2845.77,2556.77,2941.77,2089.77,2159.77,2151.77,2149.77,1816.77,1784.77,0
1451.77,3140.77,1548.77,2912.77,1146.77,2627.77,693.77,1395.77,1264.77,2307.77,1218.77,2808.77,1484.77,3297.77,1858.77,4021.77,2294.77,5000,2067.77,4052.77,1655.77,3537.77,1619.77,3096.77,1531.77,3349.77,1820.77,3845.77,1401.77,2654.77,1539.77,3058.77,0
1479.77,3140.77,1615.77,2912.77,1208.77,2627.77,726.77,1395.77,1315.77,2307.77,1227.77,2808.77,1491.77,3297.77,1860.77,4021.77,2318.77,2904.77,2105.77,4052.77,1670.77,3537.77,1604.77,3096.77,1550.77,3349.77,1884.77,3845.77,1420.77,2654.77,1592.77,3058.77,0
1482.77,2966.77,1820.77,3290.77,1922.77,3933.77,1374.77,2426.77,1893.77,3692.77,2124.77,4430.77,1905.77,4016.77,2199.77,4320.77,2296.77,4905.77,2589.77,4910.77,2664.77,5000,2149.77,4422.77,2470.77,5000,2332.77,4894.77,2006.77,3713.77,1318.77,2509.77,1
1462.77,2966.77,1799.77,3290.77,1924.77,3933.77,1385.77,2426.77,1906.77,3692.77,2153.77,4430.77,1959.77,4016.77,2164.77,4320.77,2312.77,4905.77,2558.77,4910.77,2738.77,5000,2156.77,4422.77,2502.77,5000,2296.77,4894.77,1991.77,3713.77,1317.77,2509.77,1
1405.77,3132.77,1443.77,2832.77,2007.77,3853.77,1393.77,2220.77,1994.77,3714.77,1609.77,3276.77,1729.77,3290.77,3048.77,5000,1879.77,3802.77,2064.77,4153.77,1673.77,3753.77,2379.77,4423.77,2920.77,5000,1891.77,3710.77,1976.77,3445.77,2147.77,4395.77,1
1408.77,3132.77,1459.77,2832.77,2018.77,3853.77,1409.77,2220.77,1975.77,3714.77,1625.77,3276.77,1734.77,3290.77,3055.77,5000,1878.77,3802.77,2067.77,4153.77,1686.77,3753.77,2355.77,4423.77,2910.77,5000,1874.77,3710.77,2003.77,3445.77,2298.77,4424.77,1
2697.73,2345.73,2421.73,2108.73,3018.73,2608.73,1740.73,1526.73,3623.73,3204.73,3937.73,3502.73,3334.73,3013.73,4038.73,3555.73,3917.73,3425.73,3499.73,2920.73,3884.73,3317.73,3519.73,3029.73,4253.73,3553.73,3439.73,2955.73,3022.73,2651.73,3842.73,3332.73,1
2135.77,2405.77,1379.77,1494.77,1804.77,2049.77,1154.77,1262.77,1160.77,1277.77,1672.77,1904.77,1932.77,2244.77,2003.77,2333.77,1688.77,1990.77,1234.77,1379.77,2409.77,2828.77,1637.77,1920.77,2459.77,2856.77,2002.77,2247.77,1612.77,1765.77,1942.77,2091.77,0
3540.73,3338.73,3035.73,2944.73,3600.73,3316.73,2671.73,2477.73,3433.73,3175.75,3298.73,3046.73,3503.73,3319.73,5000,4735.73,3497.73,3306.73,3828.73,3602.73,4663.73,2969.73,3321.73,3103.73,4015.73,3409.73,4009.73,3571.73,3195.79,2170.73,2430.73,2412.73,1
1854.73,1633.73,1365.73,1206.73,1731.73,1523.73,1520.73,1419.73,1877.73,1652.73,1926.73,1784.73,1813.73,1645.73,3157.73,2808.73,2598.73,2413.73,2155.73,1739.73,3593.73,3126.73,1967.73,1765.73,2337.73,2112.73,2479.73,2198.73,2071.73,1799.73,1886.73,1511.73,0
1490.73,1340.73,1736.73,1566.73,3043.73,2719.73,1103.73,1094.73,1374.73,1229.73,2058.73,1838.73,2535.73,2160.73,3784.73,3281.73,2934.73,2585.73,2681.73,2492.73,2898.73,2431.73,2088.73,1904.73,2585.73,2193.73,3773.73,3098.73,1885.73,1674.73,2179.73,1863.73,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4197.73,3601.73,2018.73,1668.73,3593.73,3029.73,1758.73,1639.73,4021.73,3714.73,4682.73,4087.73,4464.73,3733.73,5000,5000,4786.73,4342.73,5000,4398.73,4729.73,4049.73,4320.73,3761.73,3757.73,3195.79,4017.73,3316.73,2456.73,2249.73,3731.73,3162.73,1
1107.77,2163.77,1069.77,2197.77,1012.77,1985.77,908.77,1559.77,1251.77,2400.77,1645.77,3588.77,1805.77,3800.77,1997.77,4058.77,2067.77,4404.77,1540.77,1684.77,1521.77,3269.77,1370.77,2660.77,1328.77,2874.77,1398.77,2743.77,1425.77,2206.77,1234.77,2236.77,0
1113.77,2163.77,1076.77,2197.77,1025.77,1985.77,923.77,1559.77,1248.77,2400.77,1687.77,3588.77,1817.77,3800.77,2022.77,4058.77,2110.77,4404.77,1497.77,1684.77,1515.77,3269.77,1371.77,2660.77,1329.77,2874.77,1426.77,2743.77,1420.77,2206.77,1232.77,2236.77,0
4962.73,3556.73,3509.73,2569.73,5000,3690.73,4463.73,3289.73,5000,5000,5000,4458.73,5000,4544.73,5000,4848.73,5000,4913.73,5000,4814.73,5000,3823.73,5000,5000,5000,5000,5000,2841.73,5000,2221.73,5000,3908.73,1
1761.77,3745.77,1298.77,2306.77,1125.77,2382.77,765.77,1623.77,1603.77,3398.77,2167.77,4714.77,1557.77,3622.77,2058.77,4378.77,1863.77,4262.77,2261.77,4754.77,2513.77,4982.77,1711.77,3588.77,2197.77,4448.77,1758.77,3974.77,1667.77,3441.77,1956.77,3851.77,0
1795.77,3745.77,1275.77,2306.77,1156.77,2382.77,831.77,1623.77,1582.77,3398.77,2158.77,4714.77,1600.77,3622.77,2159.77,4378.77,1832.77,4262.77,2333.77,4754.77,2536.77,4982.77,1670.77,3588.77,2210.77,4448.77,1809.77,3974.77,1684.77,3441.77,1923.77,3851.77,0
2023.73,1499.73,2329.73,1818.73,1971.73,1535.73,1905.73,1461.73,2263.73,1748.73,2795.73,2284.73,4036.73,3226.07,4003.73,3070.73,3813.73,3089.73,3907.73,3171.73,3396.73,2747.73,3709.73,2839.73,2781.73,2249.73,2738.73,2034.73,2603.73,1998.73,3241.73,2534.73,1
1203.77,2612.77,1173.77,2221.77,1985.77,4102.77,1128.77,2392.77,1468.77,2941.77,1769.77,3675.77,2146.77,4428.77,2632.77,5000,2237.77,4922.77,1661.77,3349.77,1728.77,3659.77,1513.77,3183.76,2651.77,5000,1614.77,3270.77,1340.77,2574.77,1494.77,1703.73,0
1158.77,2612.77,1191.77,2221.77,2010.77,4102.77,1100.77,2392.77,1464.77,2941.77,1775.77,3675.77,2151.77,4428.77,2617.77,5000,2199.77,4922.77,1670.77,3349.77,1669.77,3659.77,1518.77,3183.76,2751.77,5000,1624.77,3270.77,1318.77,2574.77,1543.77,1712.77,0
1616.77,3535.77,1241.77,2711.77,1432.77,3129.77,1050.77,2256.77,1766.77,3599.77,1353.77,3137.77,1689.77,3733.77,2196.77,4582.77,1320.77,1532.73,1703.77,3499.77,1790.77,4003.77,1788.77,3694.77,1555.77,3211.76,1786.77,4359.77,1137.77,2196.77,1262.77,2423.77,0
1618.77,3535.77,1247.77,2711.77,1429.77,3129.77,1054.77,2256.77,1758.77,3599.77,1409.77,3137.77,1741.77,3733.77,2243.77,4582.77,1321.77,1492.77,1746.77,3499.77,1828.77,4003.77,1795.77,3694.77,1574.77,3211.76,1786.77,4359.77,1091.77,2196.77,1222.77,2423.77,0
3795.73,3351.73,2098.73,1871.73,3195.79,2868.73,2029.73,1852.73,3397.73,3007.73,2819.73,2599.73,2628.73,2323.73,3884.73,3552.73,4093.73,3639.73,3900.73,3643.73,3457.73,3083.73,3460.73,3097.73,3062.73,2664.73,2984.73,2660.73,3619.73,3202.73,2246.73,2157.73,1
4025.73,3273.73,2359.73,1762.73,3215.74,2600.73,2558.73,1967.73,3835.73,3304.73,3299.73,2845.73,3483.73,2905.73,4414.73,3821.73,4289.73,3713.73,5000,4631.73,3835.73,3263.73,4257.73,3701.73,3794.73,3037.73,5000,4351.73,3128.73,2397.73,2446.73,2106.73,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.77,0,0,0,0
3157.73,2613.73,4914.73,3602.73,5000,3603.73,3010.73,2120.73,4540.73,3474.73,5000,3919.73,5000,4212.73,5000,5000,5000,4408.73,5000,4284.73,5000,5000,5000,3876.73,4648.73,3309.73,5000,4143.73,5000,3918.73,3700.73,2662.73,1
4963.73,4388.73,4718.73,3843.73,5000,4790.73,3605.73,3068.73,5000,5000,5000,5000,5000,4539.73,5000,5000,4999.73,4142.73,5000,4384.73,5000,5000,4383.73,3814.73,5000,4518.73,5000,4448.73,4293.73,3584.73,4229.73,3059.73,1
2413.73,1415.73,1768.73,1492.73,1870.73,1679.73,1760.73,1567.73,2534.73,2163.73,2303.73,1993.73,2705.73,2314.73,2331.73,2136.73,3017.73,2573.73,2909.73,2538.73,3905.73,3282.73,3080.73,2648.73,3548.73,3059.73,2756.73,2387.73,2092.73,1788.73,1413.73,1268.73,0
0,0,237.77,315.77,131.77,122.77,179.77,195.77,253.77,339.77,230.77,203.77,396.77,383.77,264.77,232.77,640.77,630.77,41.77,0,357.77,332.77,195.77,193.77,103.77,50.77,308.77,338.77,95.77,90.77,0,69.77,0
1523.77,2872.77,1210.77,1988.77,1517.77,2883.77,958.77,1694.77,1661.77,2990.77,1876.77,3821.77,1696.77,3465.77,2172.77,3976.77,1545.77,2663.77,1237.77,2297.77,1572.77,2586.73,1003.77,1818.77,1241.77,2370.77,2184.77,4181.77,2216.77,3492.77,1688.77,2731.77,0
1407.77,2872.77,1093.77,1988.77,1364.77,2883.77,935.77,1694.77,1499.77,2990.77,1589.77,3821.77,1501.77,3465.77,1943.77,2204.77,1246.77,2663.77,1077.77,2297.77,1348.77,2574.77,832.77,1818.77,1110.77,2370.77,2026.77,4181.77,1890.77,3492.77,1528.77,2731.77,0
1850.77,2091.77,1120.77,1246.77,1836.77,2031.77,1190.77,1353.77,1607.77,1730.77,1962.77,2245.77,1468.77,1611.77,2268.77,2674.77,2379.77,2600.77,2130.77,2347.77,2342.77,2715.77,2198.77,2378.77,1738.77,1852.77,1921.77,2048.77,1443.77,1569.77,1604.77,1679.77,0
4889.73,4597.73,3973.73,3637.73,4522.73,4173.73,2778.73,2631.73,4556.73,4225.73,5000,4764.73,4051.73,3976.73,5000,5000,5000,5000,5000,4979.73,5000,4807.73,4426.73,4275.73,5000,5000,5000,4233.73,3082.73,2974.73,4200.73,3618.73,1
4707.73,4298.73,2872.73,2487.73,3800.73,3470.73,2345.73,2163.73,3587.73,3313.73,5000,4966.73,4377.73,3914.73,5000,5000,4550.73,4280.73,4982.73,4449.73,5000,4728.73,4722.73,4331.73,4351.73,3907.73,4996.73,4405.73,2814.73,2313.73,3469.73,2978.73,1
4387.73,3634.73,3150.73,2471.73,3452.73,2878.73,2220.73,1685.73,4640.73,3782.73,5000,4100.73,5000,4233.73,5000,4652.73,4959.73,4296.73,4793.73,3835.73,5000,4532.73,4212.73,3367.73,4970.73,4058.73,4875.73,3669.73,4001.73,3043.73,3328.73,2546.73,1
1141.77,2468.77,1294.77,2723.77,1763.77,3681.77,1310.77,2364.77,1189.77,2319.77,1464.77,3190.85,1785.77,3742.77,2492.77,5000,2002.77,4282.77,1455.77,2831.77,1895.77,3897.77,1728.77,3445.77,2029.77,4475.77,1664.77,3359.77,1641.77,3065.77,1624.77,2998.77,0
1167.77,2468.77,1348.77,2723.77,1773.77,3681.77,1296.77,2364.77,1195.77,2319.77,1517.77,3190.85,1818.77,3742.77,2490.77,5000,2083.77,4282.77,1379.77,2831.77,1944.77,3897.77,1751.77,3445.77,2071.77,4475.77,1657.77,3359.77,1654.77,3065.77,1570.77,2998.77,0
2173.73,1619.73,2554.73,2264.73,2295.73,1944.73,726.73,531.73,2241.73,1837.73,3255.73,2727.73,3391.73,2843.73,3522.73,2999.73,5000,4390.73,3240.73,2835.73,3874.73,3195.79,2892.73,2309.73,2924.73,2487.73,3373.73,2762.73,2504.73,1812.73,1996.73,1616.73,1
2169.73,1978.73,1616.73,1576.73,2349.73,2001.73,1263.73,1216.73,1563.73,1360.73,2495.73,2167.73,2621.73,2266.73,2727.73,2358.73,3083.73,2773.73,2403.73,2129.73,3728.73,3407.73,2292.73,1916.73,3009.73,2594.73,1675.73,1477.73,2148.73,1846.73,2268.73,2000.73,0
4412.73,4199.73,2910.73,2573.73,3662.73,3170.73,2049.73,1787.73,4463.73,3948.73,3286.73,2846.73,4289.73,3701.73,4071.73,3685.73,5000,4568.73,3948.73,3537.73,4659.73,3961.73,3486.73,3107.73,4692.73,3793.73,5000,4271.73,3659.73,3065.73,3191.02,2708.73,1
1908.77,3832.77,1473.77,2951.77,1573.77,3041.77,1364.77,2718.77,1859.77,3802.77,2060.77,4377.77,1699.77,3662.77,2324.77,4911.77,2664.77,5000,2538.77,5000,2482.77,4983.77,1831.77,3643.77,2331.77,4744.77,1708.77,3460.77,1559.77,2704.77,1544.77,2959.77,1
1887.77,3832.77,1484.77,2951.77,1540.77,3041.77,1347.77,2718.77,1833.77,3802.77,2074.77,4377.77,1727.77,3662.77,2323.77,4911.77,2745.77,5000,2662.77,5000,2466.77,4983.77,1834.77,3643.77,2383.77,4744.77,1698.77,3460.77,1538.77,2704.77,1592.77,2959.77,1
5000,5000,5000,4056.73,5000,3614.73,5000,3016.73,5000,4909.73,5000,3685.73,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,4337.73,5000,5000,5000,3875.73,5000,4051.73,1
176.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,504.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
534.77,317.77,274.77,0,336.77,348.77,227.77,0,190.77,0,356.77,505.77,306.77,285.77,360.77,631.77,189.77,0,333.77,676.77,223.77,537.77,517.77,475.77,484.77,462.77,352.77,425.77,206.77,0,321.77,0,0
0,308.73,0,0,412.73,339.73,0,0,0,0,0,496.73,412.73,276.73,0,622.73,0,0,482.73,667.73,0,528.73,398.73,466.73,0,453.73,0,416.73,178.73,0,0,0,0
402.73,308.73,0,0,405.73,339.73,120.73,0,363.73,0,426.73,496.73,421.73,276.73,339.73,622.73,430.73,0,491.73,667.73,340.73,528.73,398.73,466.73,296.73,453.73,275.73,416.73,193.73,0,177.73,0,0
0,308.73,0,0,0,339.73,0,0,0,0,0,496.73,0,276.73,0,622.73,0,0,0,667.73,0,528.73,0,466.73,0,453.73,0,416.73,0,0,0,0,0
829.73,0,0,0,856.73,0,0,0,617.73,0,706.73,0,885.73,0,0,0,723.73,0,986.73,0,595.73,0,738.73,0,516.73,0,533.73,0,384.73,0,372.73,0,0
0,308.73,0,0,0,339.73,0,0,0,0,0,496.73,0,276.73,0,622.73,0,0,0,667.73,0,528.73,0,466.73,0,453.73,0,416.73,0,0,0,0,0
205.77,0,38.77,0,99.77,0,44.77,0,93.77,0,135.77,0,49.77,0,0,0,115.77,0,213.77,0,118.77,0,281.77,0,151.77,0,152.77,0,62.77,0,54.77,0,0
0,308.73,0,0,0,339.73,0,0,0,0,0,496.73,0,276.73,0,622.73,0,0,0,667.73,0,528.73,868.73,466.73,0,0,0,416.73,0,0,0,0,0
102.77,317.77,59.77,0,91.77,348.77,0,0,0,0,38.77,505.77,86.77,285.77,0,631.77,55.77,0,97.77,676.77,0,537.77,190.77,475.77,144.77,462.77,95.77,425.77,88.77,0,38.77,0,0
